Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,DayOfWeek,Quarter,Returns,Log_Returns,MA_7,MA_30,MA_90,Volatility_30,Momentum_5,Momentum_10,RSI_14,MACD,Signal_Line,BB_Middle,BB_Upper,BB_Lower,HL_Spread,HL_PCT,Volume_MA_30,Volume_Ratio,Target,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Total Debt,Net Debt,Ordinary Shares Number,Total Assets
2019-01-22 00:00:00-05:00,37.21593282601693,37.2920711990945,36.31414457644596,36.47594451904297,121576000,0.0,0.0,2019,1,22,1,1,-0.022445532643711852,-0.022701267594376275,36.584024156842915,37.3981024424235,40.34714902242025,0.02939574839298862,0.7852210998535156,1.277740478515625,44.75433131300733,-0.7665146337416715,-1.0860263136284212,36.348516845703124,38.34222019630053,34.35481349510572,0.977926622648539,2.6810179572950976,180003786.66666666,0.6754080136388242,36.62345123291016,,,,,,,
2019-01-23 00:00:00-05:00,36.67817600819282,36.91373615846914,36.095228081853584,36.62345123291016,92522400,0.0,0.0,2019,1,23,2,1,0.004043945011216632,0.004035790243152621,36.639430454799104,37.28254381815592,40.29516203138564,0.02880565446296133,0.20223236083985086,0.7542610168457102,45.322734611269,-0.7112394841811991,-1.0110689477389767,36.38646774291992,38.37024397199022,34.40269151384962,0.8185080766155579,2.2349288476669815,177450320.0,0.5213988906867004,36.33316802978515,,,,,,,
2019-01-24 00:00:00-05:00,36.66866181499719,36.75669780079705,36.10474935564246,36.33316802978515,101766000,0.0,0.0,2019,1,24,3,1,-0.007926156420347441,-0.007957735375324319,36.731208256312776,37.148505274454756,40.23237033420139,0.028767854386357785,-0.5329856872558665,-0.14514923095703836,68.60180038659153,-0.6829839446417267,-0.9454519471195267,36.4563024520874,38.319848558494776,34.59275634568002,0.6519484451545878,1.7943616824718795,172572386.66666666,0.5897003684405594,37.537139892578125,,,,,,,
2019-01-25 00:00:00-05:00,36.994640931413,37.62517952067367,36.71863529953326,37.537139892578125,134142000,0.0,0.0,2019,1,25,4,1,0.03313699102170187,0.0325997960803774,36.890625544956755,37.06229209899902,40.18253941006131,0.029510297838984668,0.4520835876464844,0.9422378540039062,67.43759957670879,-0.557019781365014,-0.8677655139686242,36.463321685791016,38.34277245690367,34.583870914678364,0.9065442211404076,2.4150593884742144,170739560.0,0.7856527216071073,37.18975830078125,,,,,,,
2019-01-28 00:00:00-05:00,37.0684074399732,37.19689615957579,36.561601312308746,37.18975830078125,104768400,0.0,0.0,2019,1,28,0,1,-0.009254343639153007,-0.009297431114140943,36.936854771205354,36.96077194213867,40.130932320488824,0.029527782156483443,-0.12370681762695312,0.9541511535644531,64.75163686052801,-0.479693458127862,-0.7901511028004718,36.465107154846194,38.34738653960631,34.58282777008608,0.6352948472670477,1.7082521540714126,169481480.0,0.6181701977112779,36.80427551269531,,,,,,,
2019-01-29 00:00:00-05:00,37.177840193672594,37.62516512869037,36.668652639605995,36.80427551269531,166348800,0.0,0.0,2019,1,29,1,1,-0.010365294255699431,-0.010419388041549602,36.89674322945731,36.83172950744629,40.07884491814507,0.029457188174501766,0.32833099365234375,1.1135520935058594,57.232152182417764,-0.4443943280528657,-0.7209997478509507,36.44666595458985,38.306836570561295,34.5864953386184,0.9565124890843748,2.5989167719235073,170773293.33333334,0.974091421164449,39.31928634643555,,,,,,,
2019-01-30 00:00:00-05:00,38.84340996100214,39.5334292676211,38.12483560241605,39.31928634643555,244439200,0.0,0.0,2019,1,30,2,1,0.06833474640392545,0.06610112439063062,37.183289119175505,36.829905064900714,40.05459789699978,0.0316535696932343,2.6958351135253835,2.8980674743652344,66.96979791908097,-0.21104634677775636,-0.6190090676363118,36.53601150512695,38.75315264347336,34.31887036678054,1.4085936652050535,3.5824497240213726,173494106.66666666,1.408919326981174,39.602439880371094,,,,,,,
2019-01-31 00:00:00-05:00,39.523919828201805,40.21156117285483,39.15511484279429,39.602439880371094,162958400,0.0,0.0,2019,1,31,3,1,0.007201390468807745,0.0071755842760463815,37.62993131365095,36.84973360697428,40.04084226820204,0.0316217118243506,3.2692718505859446,2.736286163330078,67.61424567825323,-0.003231021455931682,-0.4958534584002358,36.63737335205078,39.21121852336111,34.06352818074045,1.0564463300605382,2.6676294017535134,173021000.0,0.9418417417538911,39.621482849121094,,,,,,,
2019-02-01 00:00:00-05:00,39.72617627176372,40.206808976586736,39.481096506586674,39.621482849121094,130672400,0.0,0.0,2019,2,1,4,1,0.0004808534223528227,0.00048073784939354624,38.05822154453823,36.853302637736,40.035398695203995,0.031540392082485796,2.0843429565429688,2.536426544189453,70.65319116953775,0.16114317134841372,-0.36445413245050595,36.92682571411133,39.47442749377826,34.379223934444404,0.7257124700000617,1.8316136040732758,172864546.66666666,0.7559236553691635,40.746925354003906,,,,,,,
2019-02-04 00:00:00-05:00,39.83324334442914,40.844480907959166,39.80231021008978,40.746925354003906,125982000,0.0,0.0,2019,2,4,0,1,0.02840485574879925,0.028008918052280857,38.6887583051409,36.93547083536784,40.04141799079047,0.031346742361527416,3.5571670532226562,3.433460235595703,78.80193604548316,0.3778688707003255,-0.21598953182033967,37.20033550262451,40.14555454953537,34.255116455713654,1.0421706978693877,2.557667084854001,170524306.66666666,0.7387920377020739,41.444091796875,,,,,,,
